date,open,high,close,low,volume,p_change
2019-01-02,3017.07,3018.78,2969.54,2958.49,68663016.0,-1.36
2019-01-03,2963.02,3000.44,2964.84,2953.25,70867104.0,-0.16
2019-01-04,2940.19,3036.81,3035.87,2935.83,103318968.0,2.4
2019-01-07,3055.15,3061.75,3054.3,3035.91,101164360.0,0.61
2019-01-08,3049.87,3055.51,3047.7,3038.53,86170584.0,-0.22
2019-01-09,3065.23,3117.96,3078.48,3062.85,107364352.0,1.01
2019-01-10,3077.48,3092.54,3072.69,3062.57,85271760.0,-0.19
2019-01-11,3082.26,3102.83,3094.78,3071.03,71786424.0,0.72
2019-01-14,3092.5,3097.41,3067.78,3064.38,66121704.0,-0.87
2019-01-15,3071.52,3129.37,3127.99,3064.67,88772968.0,1.96
2019-01-16,3126.13,3135.01,3128.65,3117.29,80214336.0,0.02
2019-01-17,3132.63,3141.71,3111.42,3110.06,80174872.0,-0.55
2019-01-18,3124.5,3171.69,3168.17,3120.35,103963832.0,1.82
2019-01-21,3170.88,3199.21,3185.64,3170.88,93915024.0,0.55
2019-01-22,3181.95,3181.95,3143.32,3135.34,72990528.0,-1.33
2019-01-23,3136.1,3157.63,3141.05,3131.87,59870480.0,-0.07
2019-01-24,3146.6,3165.63,3158.78,3125.3,72934632.0,0.56
2019-01-25,3165.18,3203.17,3184.47,3164.41,83967728.0,0.81
2019-01-28,3203.12,3228.87,3183.78,3174.72,82622432.0,-0.02
2019-01-29,3177.26,3200.99,3193.97,3148.23,77658336.0,0.32
2019-01-30,3181.66,3202.9,3168.48,3167.89,63746520.0,-0.8
2019-01-31,3182.7,3216.07,3201.63,3178.01,86247840.0,1.05
2019-02-01,3225.73,3247.5,3247.4,3207.72,82019640.0,1.43
2019-02-11,3239.81,3307.06,3306.47,3239.81,98818440.0,1.82
2019-02-12,3306.35,3335.36,3330.34,3298.63,122232464.0,0.72
2019-02-13,3337.78,3405.58,3397.03,3329.14,163828336.0,2.0
2019-02-14,3392.85,3415.4,3402.14,3381.98,151127280.0,0.15
2019-02-15,3391.24,3395.03,3338.7,3335.87,143668608.0,-1.86
2019-02-18,3366.42,3445.74,3445.74,3366.42,182886096.0,3.21
2019-02-19,3454.72,3480.79,3439.61,3419.07,179083776.0,-0.18
2019-02-20,3449.93,3463.77,3451.93,3421.51,147390304.0,0.36
2019-02-21,3450.14,3500.25,3442.71,3431.63,180143296.0,-0.27
2019-02-22,3439.38,3520.12,3520.12,3417.98,187237968.0,2.25
2019-02-25,3575.85,3729.48,3729.48,3574.69,342557120.0,5.95
2019-02-26,3734.71,3762.11,3684.69,3679.27,358038688.0,-1.2
2019-02-27,3682.81,3737.63,3678.39,3638.33,286236032.0,-0.17
2019-02-28,3675.26,3695.46,3669.37,3650.05,184810224.0,-0.24
2019-03-01,3699.22,3749.71,3749.71,3668.77,204710992.0,2.19
2019-03-04,3783.04,3886.58,3794.1,3764.78,323490112.0,1.18
2019-03-05,3785.38,3816.16,3816.01,3770.79,230853168.0,0.58
2019-03-06,3822.86,3855.16,3848.09,3787.52,318077376.0,0.84
2019-03-07,3841.15,3845.18,3808.85,3778.8,329846528.0,-1.02
2019-03-08,3721.4,3774.54,3657.58,3656.19,317990080.0,-3.97
2019-03-11,3663.98,3731.91,3729.95,3650.81,230912864.0,1.98
2019-03-12,3758.32,3804.72,3755.35,3723.68,274926400.0,0.68
2019-03-13,3758.71,3763.09,3724.19,3708.81,233682240.0,-0.83
2019-03-14,3710.29,3747.82,3698.49,3673.85,190817232.0,-0.69
2019-03-15,3713.94,3782.24,3745.01,3713.94,175174560.0,1.26
2019-03-18,3753.64,3851.75,3851.75,3733.68,216928048.0,2.85
2019-03-19,3856.59,3868.34,3833.96,3815.22,181727104.0,-0.46
2019-03-20,3825.34,3855.15,3835.44,3790.51,175632096.0,0.04
2019-03-21,3840.28,3864.07,3836.89,3823.47,196310304.0,0.04
2019-03-22,3838.13,3845.58,3833.8,3786.59,171356992.0,-0.08
2019-03-25,3776.44,3807.18,3742.83,3741.61,198586320.0,-2.37
2019-03-26,3766.53,3770.84,3700.44,3687.55,173046576.0,-1.13
2019-03-27,3724.41,3750.26,3743.39,3703.45,138758448.0,1.16
2019-03-28,3731.06,3755.72,3728.4,3710.08,133272128.0,-0.4
2019-03-29,3739.77,3876.38,3872.34,3739.77,215639104.0,3.86
2019-04-01,3901.17,3982.91,3973.93,3901.17,271382720.0,2.62
2019-04-02,3986.34,3988.1,3971.29,3956.51,226000336.0,-0.07
2019-04-03,3947.87,4026.5,4022.16,3939.78,231917360.0,1.28
2019-04-04,4039.74,4072.11,4062.23,4021.71,260410944.0,1.0
2019-04-08,4097.1,4122.6,4057.23,4017.49,267505584.0,-0.12
2019-04-09,4063.81,4084.24,4075.43,4038.28,182956816.0,0.45
2019-04-10,4062.44,4115.38,4085.85,4035.47,194687616.0,0.26
2019-04-11,4083.46,4097.12,3997.58,3990.24,169049648.0,-2.16
