date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-01-02,17.44,18.12,18.08,17.07,164739.05,0.76,4.39,17.212,17.152,17.258,68781.37,52138.33,48852.79
2019-01-03,18.02,19.19,18.39,17.86,215469.72,0.31,1.72,17.504,17.273,17.293,105077.04,69057.15,57067.97
2019-01-04,18.3,18.7,18.48,18.1,141446.62,0.09,0.49,17.826,17.402,17.336,128805.78,79431.49,61222.39
2019-01-07,18.59,19.08,18.87,18.37,187381.95,0.39,2.11,18.228,17.582,17.397,160057.46,94543.76,66216.71
2019-01-08,18.68,18.68,18.29,18.19,112953.33,-0.58,-3.07,18.422,17.719,17.433,164398.13,102879.14,70000.3
2019-01-09,18.31,18.58,18.23,18.12,91427.85,-0.06,-0.33,18.452,17.832,17.485,149735.89,109258.63,72465.05
2019-01-10,18.2,18.34,18.22,18.05,65692.73,-0.01,-0.06,18.418,17.961,17.536,119780.5,112428.77,74157.18
2019-01-11,18.24,19.18,19.18,18.24,216225.66,0.96,5.27,18.558,18.192,17.634,134736.3,131771.04,83770.2
2019-01-14,19.1,19.18,18.68,18.65,96840.22,-0.5,-2.61,18.52,18.374,17.698,116627.96,138342.71,86759.43
2019-01-15,18.65,18.92,18.89,18.63,80797.12,0.21,1.12,18.64,18.531,17.797,110196.72,137297.43,88514.59
2019-01-16,18.88,18.97,18.56,18.54,67890.85,-0.33,-1.75,18.706,18.579,17.866,105489.32,127612.61,89875.47
2019-01-17,18.55,18.68,18.4,18.28,50468.1,-0.16,-0.86,18.742,18.58,17.927,102444.39,111112.44,90084.8
2019-01-18,18.37,18.63,18.5,18.37,49736.26,0.1,0.54,18.606,18.582,17.992,69146.51,101941.41,90686.45
2019-01-21,18.5,18.68,18.46,18.26,42031.93,-0.04,-0.22,18.562,18.541,18.062,58184.85,87406.41,90975.08
2019-01-22,18.48,18.48,18.1,18.03,52270.2,-0.36,-1.95,18.404,18.522,18.121,52479.47,81338.09,92108.61
2019-01-23,18.1,18.2,18.15,18.0,35550.24,0.05,0.28,18.322,18.514,18.173,46011.35,75750.33,92504.48
2019-01-24,18.26,18.63,18.41,18.1,64182.69,0.26,1.43,18.324,18.533,18.247,48754.26,75599.33,94014.05
2019-01-25,18.38,18.47,18.17,18.11,46421.99,-0.24,-1.3,18.258,18.432,18.312,48091.41,58618.96,95195.0
2019-01-28,18.23,18.35,18.16,18.12,32652.37,-0.01,-0.06,18.198,18.38,18.377,46215.5,52200.18,95271.44
2019-01-29,18.06,18.14,17.87,17.59,73823.6,-0.29,-1.6,18.152,18.278,18.405,50526.18,51502.82,94400.12
2019-01-30,17.8,18.06,17.88,17.58,33612.39,0.01,0.06,18.098,18.21,18.395,50138.61,48074.98,87843.79
2019-01-31,17.79,17.98,17.8,17.6,40263.31,-0.08,-0.45,17.976,18.15,18.365,45354.73,47054.5,79083.47
2019-02-01,17.85,18.16,18.16,17.75,48114.14,0.36,2.02,17.974,18.116,18.349,45693.16,46892.29,74416.85
2019-02-11,18.18,18.62,18.58,18.18,68761.15,0.42,2.31,18.058,18.128,18.335,52914.92,49565.21,68485.81
2019-02-12,18.58,18.71,18.61,18.4,58743.17,0.03,0.16,18.206,18.179,18.351,49898.83,50212.51,65775.3
2019-02-13,18.6,19.2,18.94,18.52,113816.84,0.33,1.77,18.418,18.258,18.386,65939.72,58039.17,66894.75
2019-02-14,18.96,19.15,18.94,18.86,76858.56,0.0,0.0,18.646,18.311,18.422,73258.77,59306.75,67453.04
2019-02-15,18.95,19.22,19.02,18.89,88954.89,0.08,0.42,18.818,18.396,18.414,81426.92,63560.04,61089.5
2019-02-18,19.29,19.48,19.42,19.0,131389.2,0.4,2.1,18.986,18.522,18.451,93952.53,73433.73,62816.95
2019-02-19,19.4,21.36,21.36,19.04,267514.94,1.94,9.99,19.536,18.871,18.575,135706.89,92802.86,72152.84
2019-02-20,20.81,21.28,20.9,20.54,236705.58,-0.46,-2.15,19.928,19.173,18.692,160284.63,113112.18,80593.58
2019-02-21,20.91,21.5,20.66,20.58,226127.92,-0.24,-1.15,20.272,19.459,18.805,190138.51,131698.64,89376.57
2019-02-22,20.58,21.25,21.09,20.45,165939.7,0.43,2.08,20.686,19.752,18.934,205535.47,143481.2,95186.74
2019-02-25,21.21,22.67,22.29,21.21,316973.16,1.2,5.69,21.26,20.123,19.126,242652.26,168302.4,108933.8
2019-02-26,22.3,22.3,21.73,21.65,224188.38,-0.56,-2.51,21.334,20.435,19.307,233986.95,184846.92,117529.71
2019-02-27,21.51,23.09,22.72,21.51,335717.75,0.99,4.56,21.698,20.813,19.536,253789.38,207037.01,132538.09
2019-02-28,22.95,23.05,22.4,22.23,157913.97,-0.32,-1.41,22.046,21.159,19.735,240146.59,215142.55,137224.65
2019-03-01,22.55,22.65,22.3,21.87,131062.71,-0.1,-0.45,22.288,21.487,19.942,233171.19,219353.33,141456.69
2019-03-04,22.53,23.08,22.59,22.29,216563.02,0.29,1.3,22.348,21.804,20.163,213089.17,227870.71,150652.22
2019-03-05,22.4,23.35,23.24,22.2,233487.28,0.65,2.88,22.65,21.992,20.432,214948.95,224467.95,158635.4
2019-03-06,23.25,23.35,23.11,22.76,214234.81,-0.13,-0.56,22.728,22.213,20.693,190652.36,222220.87,167666.52
2019-03-07,23.0,23.62,23.08,22.76,199175.77,-0.03,-0.13,22.864,22.455,20.957,198904.72,219525.66,175612.15
2019-03-08,22.75,23.65,22.48,21.8,293323.69,-0.6,-2.6,22.9,22.594,21.173,231356.91,232264.05,187872.62
2019-03-11,22.7,23.44,23.28,22.69,198642.06,0.8,3.56,23.038,22.693,21.408,227772.72,220430.94,194366.67
2019-03-12,23.43,25.61,25.6,23.08,573099.69,2.32,9.97,23.51,23.08,21.758,295695.2,255322.08,220084.5
2019-03-13,26.48,28.13,26.2,25.75,718751.5,0.6,2.34,24.128,23.428,22.121,396598.54,293625.45,250331.23
2019-03-14,26.17,26.86,25.81,24.45,464351.03,-0.39,-1.49,24.674,23.769,22.464,449633.59,324269.16,269705.85
2019-03-15,26.0,26.26,25.05,25.0,320991.62,-0.76,-2.94,25.188,24.044,22.766,455167.18,343262.05,281307.69
2019-03-18,25.08,25.55,25.4,24.6,176570.94,0.35,1.4,25.612,24.325,23.065,450752.96,339262.84,283566.78
2019-03-19,25.4,26.89,26.18,25.16,253620.94,0.78,3.07,25.728,24.619,23.306,386857.21,341276.21,282872.08
2019-03-20,25.9,25.96,25.66,25.16,197202.31,-0.52,-1.99,25.62,24.874,23.544,282547.37,339572.96,280896.91
2019-03-21,25.58,25.91,25.59,25.36,164998.77,-0.07,-0.27,25.576,25.125,23.79,222676.92,336155.26,277840.46
2019-03-22,25.72,26.37,26.18,25.5,207665.23,0.59,2.31,25.802,25.495,24.045,200011.64,327589.41,279926.73
2019-03-25,26.01,28.15,26.95,25.9,421294.09,0.77,2.94,26.112,25.862,24.278,248956.27,349854.61,285142.78
2019-03-26,26.8,27.05,25.13,25.05,292765.75,-1.82,-6.75,25.902,25.815,24.448,256785.23,321821.22,288571.65
2019-03-27,25.27,25.48,24.61,24.22,224880.8,-0.52,-2.07,25.692,25.656,24.542,262320.93,272434.15,283029.8
2019-03-28,24.78,25.37,24.36,24.29,156326.45,-0.25,-1.02,25.446,25.511,24.64,260586.46,241631.69,282950.42
2019-03-29,24.5,25.23,25.17,24.35,174772.8,0.81,3.33,25.244,25.523,24.784,254007.98,227009.81,285135.93
2019-04-01,25.59,26.51,26.18,25.3,264354.53,1.01,4.01,25.09,25.601,24.963,222620.07,235788.17,287525.5
2019-04-02,26.63,27.05,26.24,26.01,273839.41,0.06,0.23,25.312,25.607,25.113,218834.8,237810.01,289543.11
2019-04-03,26.1,26.37,26.28,25.72,190652.08,0.04,0.15,25.646,25.669,25.272,211989.05,237154.99,288363.97
2019-04-04,26.54,26.56,26.31,26.02,164919.66,0.03,0.11,26.036,25.741,25.433,213707.7,237147.08,286651.17
2019-04-08,26.49,26.66,25.94,25.58,199381.77,-0.37,-1.41,26.19,25.717,25.606,218629.49,236318.73,281954.07
2019-04-09,25.98,26.11,25.99,25.58,101822.83,0.05,0.19,26.152,25.621,25.742,186123.15,204371.61,277113.11
2019-04-10,25.75,25.9,25.49,25.36,117558.39,-0.5,-1.92,26.002,25.657,25.736,154866.95,186850.87,254336.05
2019-04-11,25.48,26.03,25.28,25.24,121087.99,-0.21,-0.82,25.802,25.724,25.69,140954.13,176471.59,224452.87
2019-04-12,25.2,25.44,25.06,24.86,92772.09,-0.22,-0.87,25.552,25.794,25.653,126524.61,170116.16,205873.92
2019-04-15,25.3,25.84,25.04,25.01,133925.33,-0.02,-0.08,25.372,25.781,25.652,113433.33,166031.41,196520.61
2019-04-16,25.0,25.45,25.45,24.33,144107.59,0.41,1.64,25.264,25.708,25.655,121890.28,154006.71,194897.44
2019-04-17,25.45,25.95,25.7,25.4,126643.35,0.25,0.98,25.306,25.654,25.631,123707.27,139287.11,188548.56
2019-04-18,25.65,26.0,25.7,25.5,117267.78,0.0,0.0,25.39,25.596,25.633,122943.23,131948.68,184551.83
2019-04-19,25.69,25.72,25.49,25.04,98795.62,-0.21,-0.82,25.476,25.514,25.628,124147.93,125336.27,181241.68
2019-04-22,25.76,25.82,25.16,25.1,96516.83,-0.33,-1.29,25.5,25.436,25.577,116666.23,115049.78,175684.26
2019-04-23,25.21,25.35,24.33,24.3,119091.54,-0.83,-3.3,25.276,25.27,25.446,111663.02,116776.65,160574.13
2019-04-24,24.44,24.66,24.62,24.1,75432.08,0.29,1.19,25.06,25.183,25.42,101420.77,112564.02,149707.45
2019-04-25,24.6,24.79,23.57,23.57,102104.63,-1.05,-4.26,24.634,25.012,25.368,98388.14,110665.68,143568.64
2019-04-26,23.56,23.95,23.61,23.43,82478.07,0.04,0.17,24.258,24.867,25.331,95124.63,109636.28,139876.22
2019-04-29,23.7,23.93,22.74,22.48,103196.06,-0.87,-3.69,23.774,24.637,25.209,96460.48,106563.36,136297.38
2019-04-30,22.55,23.3,23.06,22.55,73628.68,0.32,1.41,23.52,24.398,25.053,87367.9,99515.46,126761.09
2019-05-06,22.4,22.53,20.75,20.75,193919.44,-2.31,-10.02,22.746,23.903,24.779,111065.38,106243.07,122765.09
2019-05-07,20.8,21.27,20.96,20.56,104963.64,0.21,1.01,22.224,23.429,24.513,111637.18,105012.66,118480.67
2019-05-08,20.42,21.45,21.06,20.35,81200.65,0.1,0.48,21.714,22.986,24.25,111381.69,103253.16,114294.72
2019-05-09,21.04,21.45,21.13,20.9,105723.99,0.07,0.33,21.392,22.583,24.01,111887.28,104173.88,109611.83
2019-05-10,21.2,22.91,22.73,21.18,187887.61,1.6,7.57,21.326,22.423,23.847,134739.07,111053.49,113915.07
2019-05-13,22.42,23.15,22.82,22.26,117509.48,0.09,0.4,21.74,22.243,23.713,119457.07,115261.23,113912.62
2019-05-14,22.58,23.5,23.02,22.46,181958.45,0.2,0.88,22.152,22.188,23.6,134856.04,123246.61,116956.15
2019-05-15,23.02,23.33,23.32,22.8,126596.2,0.3,1.3,22.604,22.159,23.513,143935.15,127658.42,118647.35
2019-05-16,23.35,24.5,23.62,23.06,180698.94,0.41,1.77,23.102,22.247,23.442,158930.14,135408.71,120986.03
2019-05-17,23.3,23.78,22.71,22.52,137102.59,-0.91,-3.85,23.098,22.212,23.305,148773.13,141756.1,120635.78
2019-05-20,22.9,23.65,23.19,22.82,112638.06,0.48,2.11,23.172,22.456,23.18,147798.85,133627.96,119935.52
2019-05-21,23.17,23.5,23.38,22.52,121994.84,0.19,0.82,23.244,22.698,23.064,135806.13,135331.08,120171.87
2019-05-22,23.4,23.4,23.15,22.81,88919.54,-0.23,-0.98,23.21,22.907,22.947,128270.79,136102.97,119678.07
2019-05-23,23.16,24.5,23.45,23.16,236336.52,0.3,1.3,23.176,23.139,22.861,139398.31,149164.22,126669.05
2019-05-24,22.66,22.93,21.95,21.92,187251.14,-1.5,-6.4,23.024,23.061,22.742,149428.02,149100.58,130077.03
2019-05-27,21.97,23.29,23.25,21.85,159579.17,1.3,5.92,23.036,23.104,22.674,158816.24,153307.55,134284.39
2019-05-28,23.25,24.08,23.51,23.15,173981.81,0.26,1.12,23.062,23.153,22.671,169213.64,152509.88,137878.24
2019-05-29,23.15,23.86,23.37,23.07,123697.56,-0.14,-0.59,23.106,23.158,22.659,176169.24,152220.02,139939.22
2019-05-30,23.25,23.7,23.27,22.81,110846.19,-0.1,-0.43,23.07,23.123,22.685,151071.17,145234.74,140321.73
